2theta,intensity
23.8,665.0
23.82,732.0
23.84,779.0
23.86,761.0
23.88,904.0
23.9,942.0
23.92,1029.0
23.94,1132.0
23.96,1202.0
23.98,1342.0
24.0,1516.0
24.02,1674.0
24.04,1914.0
24.06,2029.0
24.08,2364.0
24.1,2698.0
24.12,3075.0
24.14,3502.0
24.16,3913.0
24.18,4465.0
24.2,4720.0
24.22,5163.0
24.24,5439.0
24.26,5607.0
24.28,5507.0
24.3,5065.0
24.32,4485.0
24.34,4034.0
24.36,3475.0
24.38,2761.0
24.4,2410.0
24.42,2001.0
24.44,1768.0
24.46,1373.0
24.48,1258.0
24.5,1108.0
24.52,1012.0
24.54,945.0
24.56,814.0
24.58,759.0
24.6,764.0
24.62,638.0
24.64,623.0
24.66,606.0
24.68,567.0
24.7,543.0
24.72,566.0
24.74,554.0
24.76,561.0
24.78,512.0
24.8,514.0
24.82,497.0
24.84,465.0
24.86,478.0
24.88,475.0
24.9,483.0
24.92,474.0
24.94,457.0
24.96,455.0
24.98,438.0
25.0,453.0
25.02,452.0
25.04,404.0
25.06,400.0
25.08,426.0
25.1,406.0
25.12,444.0
25.14,424.0
25.16,440.0
25.18,404.0
25.2,403.0
25.22,433.0
25.24,424.0
25.26,425.0
25.28,416.0
25.3,440.0
25.32,421.0
25.34,402.0
25.36,404.0
25.38,404.0
25.4,438.0
25.42,403.0
25.44,404.0
25.46,417.0
25.48,451.0
25.5,402.0
25.52,390.0
25.54,403.0
25.56,428.0
25.58,389.0
25.6,385.0
25.62,393.0
25.64,389.0
25.66,441.0
25.68,417.0
25.7,436.0
25.72,376.0
25.74,374.0
25.76,351.0
25.78,396.0
25.8,398.0
25.82,412.0
25.84,397.0
25.86,382.0
25.88,381.0
25.9,366.0
25.92,372.0
25.94,368.0
25.96,385.0
25.98,377.0
26.0,375.0
26.02,368.0
26.04,366.0
26.06,366.0
26.08,373.0
26.1,361.0
26.12,354.0
26.14,375.0
26.16,358.0
26.18,360.0
26.2,364.0
26.22,339.0
26.24,398.0
26.26,389.0
26.28,394.0
26.3,375.0
26.32,377.0
26.34,378.0
26.36,379.0
26.38,364.0
26.4,392.0
26.42,338.0
26.44,366.0
26.46,359.0
26.48,357.0
26.5,333.0
26.52,336.0
26.54,401.0
26.56,352.0
26.58,336.0
26.6,356.0
26.62,349.0
26.64,369.0
26.66,354.0
26.68,366.0
26.7,374.0
26.72,390.0
26.74,381.0
26.76,370.0
26.78,411.0
26.8,403.0
26.82,383.0
26.84,420.0
26.86,386.0
26.88,386.0
26.9,392.0
26.92,350.0
26.94,377.0
26.96,351.0
26.98,351.0
27.0,358.0
27.02,337.0
27.04,340.0
27.06,343.0
27.08,371.0
27.1,335.0
27.12,309.0
27.14,346.0
27.16,346.0
27.18,361.0
27.2,351.0
27.22,359.0
27.24,294.0
27.26,346.0
27.28,325.0
27.3,312.0
27.32,344.0
27.34,347.0
27.36,357.0
27.38,349.0
27.4,320.0
27.42,337.0
27.44,353.0
27.46,333.0
27.48,330.0
27.5,351.0
27.52,321.0
27.54,361.0
27.56,365.0
27.58,358.0
27.6,346.0
27.62,365.0
27.64,354.0
27.66,372.0
27.68,407.0
27.7,366.0
27.72,348.0
27.74,357.0
27.76,335.0
27.78,350.0
27.8,347.0
27.82,316.0
27.84,360.0
27.86,363.0
27.88,362.0
27.9,375.0
27.92,355.0
27.94,403.0
27.96,399.0
27.98,388.0
28.0,367.0
28.02,392.0
28.04,383.0
28.06,407.0
28.08,456.0
28.1,435.0
28.12,448.0
28.14,465.0
28.16,466.0
28.18,517.0
28.2,528.0
28.22,521.0
28.24,583.0
28.26,647.0
28.28,725.0
28.3,752.0
28.32,752.0
28.34,886.0
28.36,927.0
28.38,1052.0
28.4,1087.0
28.42,1236.0
28.44,1333.0
28.46,1411.0
28.48,1509.0
28.5,1513.0
28.52,1475.0
28.54,1444.0
28.56,1398.0
28.58,1258.0
28.6,1170.0
28.62,1065.0
28.64,944.0
28.66,877.0
28.68,764.0
28.7,693.0
28.72,606.0
28.74,600.0
28.76,562.0
28.78,534.0
28.8,538.0
28.82,485.0
28.84,473.0
28.86,422.0
28.88,441.0
28.9,434.0
28.92,375.0
28.94,385.0
28.96,382.0
28.98,403.0
29.0,397.0
29.02,378.0
29.04,351.0
29.06,384.0
29.08,411.0
29.1,380.0
29.12,344.0
29.14,364.0
29.16,372.0
29.18,337.0
29.2,354.0
29.22,374.0
29.24,355.0
29.26,360.0
29.28,392.0
29.3,436.0
29.32,388.0
29.34,401.0
29.36,422.0
29.38,428.0
29.4,458.0
29.42,445.0
29.44,468.0
29.46,494.0
29.48,506.0
29.5,562.0
29.52,606.0
29.54,640.0
29.56,719.0
29.58,744.0
29.6,845.0
29.62,943.0
29.64,1040.0
29.66,1121.0
29.68,1278.0
29.7,1461.0
29.72,1508.0
29.74,1676.0
29.76,1880.0
29.78,2035.0
29.8,2063.0
29.82,1969.0
29.84,1994.0
29.86,1845.0
29.88,1680.0
29.9,1487.0
29.92,1347.0
29.94,1113.0
29.96,997.0
29.98,819.0
30.0,732.0
30.02,721.0
30.04,657.0
30.06,549.0
30.08,494.0
30.1,491.0
30.12,452.0
30.14,451.0
30.16,438.0
30.18,412.0
30.2,409.0
30.22,372.0
30.24,356.0
30.26,378.0
30.28,366.0
30.3,376.0
30.32,354.0
30.34,348.0
30.36,367.0
30.38,372.0
30.4,365.0
30.42,371.0
30.44,354.0
30.46,367.0
30.48,347.0
30.5,370.0
30.52,416.0
30.54,435.0
30.56,461.0
30.58,491.0
30.6,539.0
30.62,569.0
30.64,586.0
30.66,658.0
30.68,690.0
30.7,810.0
30.72,837.0
30.74,940.0
30.76,859.0
30.78,857.0
30.8,788.0
30.82,648.0
30.84,606.0
30.86,572.0
30.88,522.0
30.9,458.0
30.92,406.0
30.94,362.0
30.96,366.0
30.98,368.0
31.0,330.0
31.02,329.0
31.04,310.0
31.06,299.0
31.08,320.0
31.1,343.0
31.12,318.0
31.14,329.0
31.16,322.0
31.18,296.0
31.2,297.0
31.22,324.0
31.24,296.0
31.26,266.0
31.28,309.0
31.3,269.0
31.32,284.0
31.34,284.0
31.36,277.0
31.38,292.0
31.4,309.0
31.42,298.0
31.44,285.0
31.46,290.0
31.48,285.0
31.5,274.0
31.52,303.0
31.54,288.0
31.56,281.0
31.58,292.0
31.6,302.0
31.62,301.0
31.64,289.0
31.66,310.0
31.68,334.0
31.7,300.0
31.72,309.0
31.74,289.0
31.76,282.0
31.78,295.0
31.8,285.0
31.82,268.0
31.84,315.0
31.86,278.0
31.88,285.0
31.9,269.0
31.92,283.0
31.94,283.0
31.96,307.0
31.98,303.0
32.0,254.0
32.02,280.0
32.04,282.0
32.06,257.0
32.08,245.0
32.1,282.0
32.12,293.0
32.14,295.0
32.16,243.0
32.18,276.0
32.2,253.0
32.22,269.0
32.24,274.0
32.26,265.0
32.28,255.0
32.3,278.0
32.32,264.0
32.34,264.0
32.36,277.0
32.38,279.0
32.4,264.0
32.42,276.0
32.44,258.0
32.46,259.0
32.48,262.0
32.5,257.0
32.52,275.0
32.54,273.0
32.56,274.0
32.58,270.0
32.6,305.0
32.62,300.0
32.64,258.0
32.66,270.0
32.68,277.0
32.7,280.0
32.72,285.0
32.74,264.0
32.76,246.0
32.78,260.0
32.8,254.0
32.82,243.0
32.84,250.0
32.86,268.0
32.88,266.0
32.9,274.0
32.92,265.0
32.94,251.0
32.96,279.0
32.98,284.0
33.0,294.0
33.02,246.0
33.04,289.0
33.06,266.0
33.08,301.0
33.1,268.0
33.12,252.0
33.14,265.0
33.16,269.0
33.18,281.0
33.2,259.0
33.22,282.0
33.24,253.0
33.26,267.0
33.28,279.0
33.3,283.0
33.32,276.0
33.34,279.0
33.36,288.0
33.38,273.0
33.4,281.0
33.42,292.0
33.44,319.0
33.46,290.0
33.48,316.0
33.5,287.0
33.52,273.0
33.54,273.0
33.56,281.0
33.58,316.0
33.6,322.0
33.62,340.0
33.64,303.0
33.66,311.0
33.68,302.0
33.7,302.0
33.72,306.0
33.74,315.0
33.76,341.0
33.78,336.0
33.8,318.0
33.82,302.0
33.84,339.0
33.86,312.0
33.88,362.0
33.9,368.0
33.92,334.0
33.94,342.0
33.96,385.0
33.98,380.0
34.0,401.0
34.02,403.0
34.04,456.0
34.06,460.0
34.08,520.0
34.1,467.0
34.12,556.0
34.14,577.0
34.16,627.0
34.18,646.0
34.2,688.0
34.22,720.0
34.24,833.0
34.26,901.0
34.28,1022.0
34.3,1070.0
34.32,1241.0
34.34,1317.0
34.36,1438.0
34.38,1589.0
34.4,1827.0
34.42,1955.0
34.44,2070.0
34.46,2307.0
34.48,2377.0
34.5,2560.0
34.52,2546.0
34.54,2617.0
34.56,2584.0
34.58,2400.0
34.6,2364.0
34.62,2107.0
34.64,1942.0
34.66,1764.0
34.68,1698.0
34.7,1417.0
34.72,1285.0
34.74,1134.0
34.76,1058.0
34.78,968.0
34.8,902.0
34.82,794.0
34.84,732.0
34.86,650.0
34.88,587.0
34.9,558.0
34.92,569.0
34.94,511.0
34.96,474.0
34.98,437.0
35.0,449.0
35.02,393.0
35.04,402.0
35.06,365.0
35.08,362.0
35.1,387.0
35.12,366.0
35.14,336.0
35.16,345.0
35.18,337.0
35.2,346.0
35.22,329.0
35.24,301.0
35.26,313.0
35.28,297.0
35.3,279.0
35.32,321.0
35.34,294.0
35.36,287.0
35.38,286.0
35.4,278.0
35.42,306.0
35.44,294.0
35.46,261.0
35.48,271.0
35.5,270.0
35.52,267.0
35.54,265.0
35.56,287.0
35.58,287.0
35.6,278.0
35.62,263.0
35.64,275.0
35.66,256.0
35.68,264.0
35.7,284.0
35.72,248.0
35.74,261.0
35.76,288.0
35.78,271.0
35.8,278.0
35.82,248.0
35.84,278.0
35.86,278.0
35.88,258.0
35.9,260.0
35.92,250.0
35.94,248.0
35.96,259.0
35.98,243.0
36.0,257.0
36.02,265.0
36.04,247.0
36.06,247.0
36.08,238.0
36.1,247.0
36.12,263.0
36.14,234.0
36.16,206.0
36.18,242.0
36.2,245.0
36.22,231.0
36.24,256.0
36.26,244.0
36.28,276.0
36.3,229.0
36.32,220.0
36.34,235.0
36.36,232.0
36.38,254.0
36.4,249.0
36.42,224.0
36.44,215.0
36.46,233.0
36.48,255.0
36.5,236.0
36.52,238.0
36.54,221.0
36.56,247.0
36.58,236.0
36.6,235.0
36.62,202.0
36.64,250.0
36.66,251.0
36.68,262.0
36.7,208.0
36.72,253.0
36.74,256.0
36.76,227.0
36.78,233.0
36.8,234.0
36.82,232.0
36.84,220.0
36.86,227.0
36.88,228.0
36.9,202.0
36.92,239.0
36.94,211.0
36.96,221.0
36.98,207.0
37.0,239.0
37.02,232.0
37.04,222.0
37.06,235.0
37.08,226.0
37.1,253.0
37.12,236.0
37.14,236.0
37.16,202.0
37.18,249.0
37.2,229.0
37.22,237.0
37.24,246.0
37.26,245.0
37.28,231.0
37.3,245.0
37.32,285.0
37.34,251.0
37.36,276.0
37.38,286.0
37.4,288.0
37.42,327.0
37.44,308.0
37.46,308.0
37.48,302.0
37.5,353.0
37.52,372.0
37.54,350.0
37.56,393.0
37.58,401.0
37.6,489.0
37.62,446.0
37.64,538.0
37.66,597.0
37.68,562.0
37.7,598.0
37.72,587.0
37.74,629.0
37.76,630.0
37.78,628.0
37.8,640.0
37.82,601.0
37.84,541.0
37.86,500.0
37.88,516.0
37.9,504.0
37.92,485.0
37.94,427.0
37.96,395.0
37.98,370.0
38.0,355.0
38.02,317.0
38.04,307.0
38.06,304.0
38.08,287.0
38.1,310.0
38.12,284.0
38.14,274.0
38.16,268.0
38.18,257.0
38.2,245.0
38.22,263.0
38.24,257.0
38.26,264.0
38.28,278.0
38.3,230.0
38.32,258.0
38.34,250.0
38.36,269.0
38.38,266.0
38.4,256.0
38.42,254.0
38.44,227.0
38.46,243.0
38.48,242.0
38.5,197.0
38.52,235.0
38.54,226.0
38.56,227.0
38.58,238.0
38.6,253.0
38.62,263.0
38.64,224.0
38.66,253.0
38.68,240.0
38.7,253.0
38.72,254.0
38.74,277.0
38.76,237.0
38.78,241.0
38.8,194.0
38.82,216.0
38.84,230.0
38.86,232.0
38.88,211.0
38.9,221.0
38.92,234.0
38.94,263.0
38.96,231.0
38.98,225.0
39.0,250.0
39.02,239.0
39.04,232.0
39.06,224.0
39.08,204.0
39.1,214.0
39.12,226.0
39.14,242.0
39.16,242.0
39.18,218.0
39.2,222.0
39.22,212.0
39.24,223.0
39.26,248.0
39.28,187.0
39.3,221.0
39.32,237.0
39.34,206.0
39.36,252.0
39.38,233.0
39.4,228.0
39.42,254.0
39.44,208.0
39.46,223.0
39.48,227.0
39.5,232.0
39.52,204.0
39.54,226.0
39.56,218.0
39.58,230.0
39.6,209.0
39.62,236.0
39.64,225.0
39.66,194.0
39.68,222.0
39.7,207.0
39.72,208.0
39.74,214.0
39.76,229.0
39.78,224.0
39.8,242.0
39.82,229.0
39.84,224.0
39.86,209.0
39.88,233.0
39.9,209.0
39.92,258.0
39.94,214.0
39.96,211.0
39.98,209.0
40.0,205.0
40.02,205.0
40.04,238.0
40.06,222.0
40.08,213.0
40.1,187.0
40.12,220.0
40.14,210.0
40.16,234.0
40.18,240.0
40.2,190.0
40.22,205.0
40.24,219.0
40.26,206.0
40.28,216.0
40.3,213.0
40.32,223.0
40.34,211.0
40.36,212.0
40.38,227.0
40.4,229.0
40.42,187.0
40.44,212.0
40.46,258.0
40.48,250.0
40.5,233.0
40.52,217.0
40.54,226.0
40.56,229.0
40.58,210.0
40.6,227.0
40.62,242.0
40.64,214.0
40.66,224.0
40.68,225.0
40.7,232.0
40.72,209.0
40.74,226.0
40.76,235.0
40.78,212.0
40.8,261.0
40.82,241.0
40.84,256.0
40.86,237.0
40.88,221.0
40.9,218.0
40.92,218.0
40.94,227.0
40.96,217.0
40.98,240.0
41.0,244.0
41.02,235.0
41.04,238.0
41.06,229.0
41.08,219.0
41.1,241.0
41.12,231.0
41.14,217.0
41.16,232.0
41.18,241.0
41.2,235.0
41.22,231.0
41.24,248.0
41.26,237.0
41.28,240.0
41.3,236.0
41.32,246.0
41.34,252.0
41.36,218.0
41.38,219.0
41.4,230.0
41.42,243.0
41.44,233.0
41.46,204.0
41.48,223.0
41.5,224.0
41.52,230.0
41.54,225.0
41.56,238.0
41.58,256.0
41.6,256.0
41.62,248.0
41.64,247.0
41.66,250.0
41.68,242.0
41.7,273.0
41.72,273.0
41.74,259.0
41.76,270.0
41.78,254.0
41.8,254.0
41.82,250.0
41.84,263.0
41.86,242.0
41.88,256.0
41.9,269.0
41.92,235.0
41.94,258.0
41.96,274.0
41.98,291.0
42.0,275.0
42.02,291.0
42.04,339.0
42.06,305.0
42.08,322.0
42.1,317.0
42.12,342.0
42.14,367.0
42.16,365.0
42.18,395.0
42.2,408.0
42.22,413.0
42.24,496.0
42.26,528.0
42.28,508.0
42.3,557.0
42.32,671.0
42.34,653.0
42.36,715.0
42.38,817.0
42.4,925.0
42.42,1023.0
42.44,1029.0
42.46,1165.0
42.48,1223.0
42.5,1487.0
42.52,1567.0
42.54,1711.0
42.56,1758.0
42.58,1809.0
42.6,1888.0
42.62,1934.0
42.64,1864.0
42.66,1776.0
42.68,1725.0
42.7,1606.0
42.72,1498.0
42.74,1399.0
42.76,1268.0
42.78,1147.0
42.8,1017.0
42.82,958.0
42.84,840.0
42.86,824.0
42.88,727.0
42.9,595.0
42.92,611.0
42.94,575.0
42.96,503.0
42.98,471.0
43.0,455.0
43.02,435.0
43.04,412.0
43.06,396.0
43.08,392.0
43.1,320.0
43.12,336.0
43.14,336.0
43.16,308.0
43.18,339.0
43.2,323.0
43.22,325.0
43.24,279.0
43.26,287.0
43.28,302.0
43.3,264.0
43.32,266.0
43.34,303.0
43.36,265.0
43.38,277.0
43.4,260.0
43.42,253.0
43.44,270.0
43.46,256.0
43.48,257.0
43.5,268.0
43.52,265.0
43.54,242.0
43.56,255.0
43.58,237.0
43.6,250.0
43.62,233.0
43.64,251.0
43.66,247.0
43.68,257.0
43.7,216.0
43.72,264.0
43.74,246.0
43.76,252.0
43.78,278.0
43.8,278.0
43.82,257.0
43.84,256.0
43.86,271.0
43.88,286.0
43.9,291.0
43.92,315.0
43.94,328.0
43.96,316.0
43.98,340.0
44.0,365.0
44.02,351.0
44.04,293.0
44.06,315.0
44.08,285.0
44.1,301.0
44.12,286.0
44.14,296.0
44.16,262.0
44.18,284.0
44.2,254.0
44.22,244.0
44.24,249.0
44.26,196.0
44.28,236.0
44.3,232.0
44.32,238.0
44.34,242.0
44.36,234.0
44.38,252.0
44.4,254.0
44.42,249.0
44.44,242.0
44.46,241.0
44.48,219.0
44.5,225.0
